"Município";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"311820 CONQUISTA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"117750";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"117750"
"311830 CONSELHEIRO LAFAIETE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1900658";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1900658"
"311840 CONSELHEIRO PENA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"336569";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"336569"
"311850 CONSOLACAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21935";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21935"
"311860 CONTAGEM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8661430";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8661430"
"311870 COQUEIRAL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"143232";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"143232"
"311880 CORACAO DE JESUS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"370615";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"370615"
"311890 CORDISBURGO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105872";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105872"
"311900 CORDISLANDIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46944";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46944"
"311910 CORINTO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"331577";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"331577"
"311920 COROACI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"140473";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"140473"
"311930 COROMANDEL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"398004";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"398004"
"311940 CORONEL FABRICIANO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1512070";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1512070"
"311950 CORONEL MURTA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"144187";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"144187"
"311960 CORONEL PACHECO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45459";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45459"
"311970 CORONEL XAVIER CHAVES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"44733";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"44733"
"311980 CORREGO DANTA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39624";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39624"
"311990 CORREGO DO BOM JESUS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"53074";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"53074"
"311995 CORREGO FUNDO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"75802";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"75802"
"312000 CORREGO NOVO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49224";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49224"
"312010 COUTO DE MAGALHAES DE MINAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"81505";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"81505"
"312015 CRISOLITA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"99556";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"99556"
"312020 CRISTAIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"151643";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"151643"
"312030 CRISTALIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105613";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105613"
"312040 CRISTIANO OTONI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"74253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"74253"
"312050 CRISTINA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"148113";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"148113"
"312060 CRUCILANDIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"70689";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"70689"
"312070 CRUZEIRO DA FORTALEZA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"64855";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"64855"
"312080 CRUZILIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"233478";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"233478"
"312083 CUPARAQUE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"64677";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"64677"
"312087 CURRAL DE DENTRO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"140078";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"140078"
"312090 CURVELO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1168719";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1168719"
"312100 DATAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"91284";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"91284"
"312110 DELFIM MOREIRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"118110";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"118110"
